003-770-422;Купила такое покрывало для спальни дочки, пусть оно создает ей хорошее и спокой ное натроение, понравилось качество, особенно то, что заявлена гипоаллергенность
;
002-207-647;Часто пеку. Очень устроил этот набор - все три формы разъемные. Разные размеры позволят испечь оазные коржи, сделать ступенчатый торт, уже попробовала-получилось отлично.
003-955-681;Мне нравятся красиво нарезанные овощи, руками это сделать трудно. Да и долго, а эта овощерезка, которую я приобрела позволяет мне все сделать быстро и красиво Набор тряпочек тоже конечно пригодился.
003-875-118;сковородки очень качественные и удобные. Ручка съемная. Блинная сковородочка однозначно мне пригодится, тем более,что скоро масленица.
004-277-525;нет
004-277-527;нет
004-277-530;нет
003-799-200;Очень удобный набор, мне часто требуются сковородки разного размера. Съемные ручки позволяют экономить место и ставить сковородку в духовку. Надежность антинагарного покрытия я уже проверила - отличное.
003-900-203;Эта блузка созлает мне  хорошее настроение. Чудесный принт, сочетается со многими вещами из моего гардероба.
671-203;Купила такое платье, чувствую себя в нем прекрасно, удобный покрой, удачная длин рукава, а сама ткань создает впечатление кружева. На работе всем очень понравилось.
004-283-839;Понравилась блузка белого цвета с красивым рисунком, нарядно и модно, асимиртричная длина - очень современно. Ношу с большим удовольствием.
079-058;Платье хорошо сидит, принт мне понравился, украшает однотонная отделка по низу платья и рукава
140-363;"Мне очень подошла эта блуза, очень хорошо сидит за счет рукава ""летучая мышь"" и планки по низу.  Выбрала цвет морской волны с фиолетовым рисунком. Красота."
002-496-504;Выбрала платье молочного цвета, люблю трикотажные вещи, взяла на размер больше, как и советовали, очень хорошо село, выглядит очень нарядно.
001-853-543;Взяла это покрывало в подарок сестре. Зная ее вкус, несомневалась, что ей понравится эта красота и не ошиблась
004-023-337;Выбирала постельное белье и остановилась на этом варианте. Застелила постель и осталась очень довольна. Надеюсь, что качество тоже не подведет
;
002-412-450;Покрывало мне понравилось, я люблю жаккардовую ткань, рисунок очень нежный, подошел к стилю моей спальни.
004-023-652;Обажаю розы. Сама их выращиваю, поэтому выбрала этот комплект. К тому же микрофибре я доверяю-отлично стирается и не нужно гладить.
003-770-420;Не смогла устоять, взяла этот плед, такая чудесная расцветка, прямо веришь. Что весна придет.
;
004-236-540;Это колечко мне подарила мама на пятнадцатилетие, мне оно очень понравилось, а когда прочитала надпись, то чуть не расплакалась. Всегда буду его носить.
124-254;Выбрала для себя этот браслет, очень понравилось плетение. На руке смотрится очень нежно
004-236-541;нет
001-718-589;Я не была крещена при рождении и вот решила пройти обряд крещения уже во взрослом возрасте, очень понравился и подошел мне зтот крестик. Сделан искусно и надпись такая проникновенная
003-847-379;Выбрал это кольцо в подарок своей маме. Оно очень подошло- руки у нее красивые, да и аметист ее камень
003-847-387;очень люблю серьги с крупными камнями, а цвет аметиста вообще завораживает, поэтому решила сделать себе подарок и не ошиблась. Очень мне подошли
002-384-439;нет
139-008;нет
002-021-769;Я по знаку зодиака весы. Никак не удавалось найти достойную подвеску, а тут все сошлось. Очень удачный дизайн. Спасибо.
004-236-541;нет
004-236-605;нет
004-236-606;нет
003-679-662;Купила такую блузу в фиолетовых тонах, понравилось, как сидит, а цветочный принт очень украшает
003-965-737;Очень подошла мне   поравилась абстрактная расцветка,  удачный  покрой и особенно оригинальный ворот
001-763-890;нет
004-283-836;нет
004-283-834;нет
003-447-858;нет
Блуза «Огнеса»;нет
001-599-763;Чудесное платье. Я выбрала на бежевом фоне. Покрой простой, но за счет рисунка выглядит роскошно
002-506-408;Я купила это покрывало и оно действительно роскошное, выглядит даже лучше, чем на картинке.
004-023-295;Считаю, что постельное белье обязательно должно быть красивым, у меня много разных комплектов, а теперь буде и этот с чудесными цветами
;
003-628-332;Хотелось чего-то в стиле прованс, вот и купила это покрывало. Настроение поднялось.
004-023-654;Очень красивый и яркий комплект. Купила для подарка детям и как оказалось угодила
003-578-163;Купила этот плнд и поняла что его нежная расцветка действительно освежает комнату.
004-236-609;нет
004-236-610;нет
001-823-476;Кольцо простое, но очень изящное, понравились алмазные грани и сакроментальная надпись, поэтому решила его купить
;
003-311-609;Муж подарил мне эту цепочку и я очень довольна. Понравилось изящное плетение, удобный и надежный замочек
004-236-618;Кольцо просто роскошное, крупное,как я люблю и 7 чудесных топазов, мне очень понравлся этот подарок
004-236-619;нет
121-374;наконец-то подобрала кольцо к своей жемчужной подвеске. Очень красивая работа- жемчужина в нежных объятиях. Романтично
121-375;Эти серьги мне подарили коллеги по ра боте на день рождения. Знают. Что я люблю жемчуг. Дизай очень понравился- очень красиво вплетена жемчужина в ажурную поддержку
001-803-271;Подарил этот гарнитур своей жене, знаю. Что она любит изящные украшения. Приятно, что ей понравилось.
